property_id,city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,garage,basement,sale_year,sale_price
1,6,11,4,3,2,1160,2304.0,2022,1,0,2024,326000
2,28,10,2,4,4,1807,5869.0,2006,0,1,2025,444000
3,13,13,4,3,1,803,3387.0,1989,1,1,2025,273000
5,12,20,1,2,2,714,6257.154658221167,1997,1,0,2022,371000
7,15,38,4,3,3,1036,3343.0,1939,0,1,2023,383000
8,26,33,3,4,2,1767,4750.0,2007,1,1,2023,475000
9,13,51,4,4,2,1178,2763.0,1956,0,0,2024,337000
10,24,5,0,4,1,1063,5380.0,1984,1,1,2025,386000
11,12,31,1,1,2,768,6257.154658221167,2014,1,0,2025,523000
12,12,67,4,3,1,1314,2791.0,2017,1,0,2022,423000
13,11,41,4,3,2,1099,2811.0,2000,0,1,2022,431000
14,18,30,1,1,1,991,6257.154658221167,2002,0,0,2024,534000
15,14,54,3,4,2,1450,6792.0,1975,1,0,2024,479000
16,5,9,1,2,2,806,6257.154658221167,2010,0,0,2025,464000
17,1,3,1,3,1,512,6257.154658221167,1984,1,0,2025,153000
18,13,35,1,2,2,862,6257.154658221167,2021,0,0,2023,299000
19,6,11,3,4,3,1642,6265.0,1964,1,1,2021,383000
21,11,16,2,5,3,1623,4816.0,1986,1,1,2023,648000
22,15,21,1,2,1,678,6257.154658221167,1959,0,0,2021,279000
23,6,11,5,6,4,2371,5122.0,1987,0,1,2024,559000
24,15,38,0,3,2,1149,4139.0,1989,1,1,2024,586000
25,15,66,2,6,4,1984,5285.0,1955,0,1,2024,723000
26,14,54,2,5,2,1612,4032.0,2023,1,0,2025,589000
27,24,5,4,2,2,1085,2989.0,1977,1,1,2024,353000
28,9,22,2,6,4,1558,7432.0,1969,1,1,2025,602000
29,23,23,1,2,2,677,6257.154658221167,1964,1,0,2025,314000
30,14,47,3,6,3,1537,4684.0,2023,1,1,2024,494000
31,2,6,3,4,1,1135,8155.0,1983,0,1,2024,354000
32,11,17,3,4,2,982,5761.0,1985,1,1,2023,538000
33,15,21,4,3,2,1069,3890.0,1924,0,1,2023,383000
34,11,17,1,2,1,917,6257.154658221167,1994,1,0,2024,380000
35,17,34,4,3,2,961,3485.0,1999,1,1,2024,285000
36,11,16,2,4,3,1610,5639.0,1995,1,1,2023,600000
37,4,55,1,3,1,895,6257.154658221167,1990,1,0,2024,598000
39,26,11,3,5,3,1770,5529.0,2001,1,1,2021,504000
41,11,16,1,2,1,866,6257.154658221167,2013,1,0,2024,528000
42,28,11,3,4,2,1134,8763.0,1994,0,1,2025,425000
43,14,47,1,1,2,544,6257.154658221167,2005,1,0,2025,353000
44,8,48,3,5,3,1205,6992.0,2013,0,1,2021,260000
45,23,23,4,2,2,1119,3690.0,1983,1,1,2022,242000
